E,#,LOSS TRANSFORMER,LOSS TEXTCAT_MULTILABEL,CATS_SCORE,SCORE
0,0,1043.12,97.57,51.87,0.52
0,200,303.56,47.89,92.8,0.93
0,400,178.48,32.15,97.18,0.97
0,600,126.15,30.29,98.38,0.98
0,800,107.72,23.89,98.0,0.98
1,1000,75.01,16.02,98.98,0.99
1,1200,89.86,15.21,98.85,0.99
1,1400,76.18,17.49,99.05,0.99
1,1600,71.84,14.14,99.2,0.99
1,1800,65.48,12.96,99.28,0.99
2,2000,55.02,11.69,99.35,0.99
2,2200,60.5,10.13,99.24,0.99
2,2400,45.02,11.14,99.17,0.99
2,2600,50.65,10.65,99.18,0.99
2,2800,44.16,11.43,99.39,0.99
3,3000,42.03,7.15,99.41,0.99
3,3200,45.62,9.37,99.27,0.99
3,3400,37.06,9.25,99.35,0.99
3,3600,36.97,8.4,99.32,0.99
3,3800,41.03,7.81,99.32,0.99
4,4000,38.76,7.82,99.46,0.99
4,4200,33.08,7.03,99.39,0.99
4,4400,32.93,7.74,99.35,0.99
4,4600,38.37,6.11,99.39,0.99
4,4800,34.67,8.54,99.38,0.99
5,5000,27.16,5.82,99.55,1.0
5,5200,32.0,6.13,99.39,0.99
5,5400,33.84,5.52,99.52,1.0
5,5600,27.78,6.58,99.5,1.0
5,5800,31.9,5.93,99.58,1.0
6,6000,26.94,5.29,99.5,0.99
6,6200,32.88,4.76,99.53,1.0
6,6400,25.86,4.95,99.48,0.99
6,6600,27.95,4.39,99.36,0.99
6,6800,28.92,6.06,99.46,0.99
7,7000,24.57,3.88,99.54,1.0
7,7200,27.27,5.15,99.04,0.99
